ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601318.SH,20080102,105.8,105.8,102.72,102.99,106.1,-3.11,-2.93,200760.01,2069966.569
601318.SH,20080103,102.57,102.7,99.38,101.83,102.99,-1.16,-1.13,379968.67,3805596.238
601318.SH,20080104,101.63,104.49,100.0,104.22,101.83,2.39,2.35,180837.53,1864281.235
601318.SH,20080107,103.5,103.5,100.04,102.39,104.22,-1.83,-1.76,224284.1,2285519.494
601318.SH,20080108,102.8,107.34,102.8,106.09,102.39,3.7,3.61,324606.03,3423619.777
601318.SH,20080109,105.5,107.1,104.8,106.21,106.09,0.12,0.11,154007.34,1629227.741
601318.SH,20080110,106.5,107.5,103.68,107.08,106.21,0.87,0.82,239537.43,2529584.935
601318.SH,20080111,107.52,110.56,107.52,109.69,107.08,2.61,2.44,270258.19,2962030.971
601318.SH,20080114,110.54,112.9,109.0,109.44,109.69,-0.25,-0.23,154510.57,1710964.392
601318.SH,20080115,109.5,109.88,104.0,105.04,109.44,-4.4,-4.02,332476.54,3515459.874
601318.SH,20080116,103.0,103.48,100.15,100.71,105.04,-4.33,-4.12,271646.84,2755884.772
601318.SH,20080117,100.0,101.5,96.8,99.58,100.71,-1.13,-1.12,223156.08,2212991.078
601318.SH,20080118,99.55,99.98,96.69,98.21,99.58,-1.37,-1.38,214061.19,2090141.841
601318.SH,20080121,98.21,98.21,88.39,88.39,98.21,-9.82,-10.0,332012.0,3008297.368
601318.SH,20080122,84.0,84.0,79.55,79.55,88.39,-8.84,-10.0,328947.93,2656532.797
601318.SH,20080123,78.01,82.0,76.54,80.47,79.55,0.92,1.16,345617.88,2737490.663
601318.SH,20080124,82.01,82.2,76.8,79.93,80.47,-0.54,-0.67,238230.61,1887231.756
601318.SH,20080125,79.58,81.9,77.9,80.59,79.93,0.66,0.83,256725.86,2052799.779
601318.SH,20080128,79.0,79.5,72.53,72.53,80.59,-8.06,-10.0,239765.74,1791142.556
601318.SH,20080129,75.0,75.92,70.95,72.48,72.53,-0.05,-0.07,150831.01,1103903.293
601318.SH,20080130,73.99,74.88,68.98,71.1,72.48,-1.38,-1.9,218955.0,1569981.328
601318.SH,20080131,70.77,73.05,70.2,71.81,71.1,0.71,1.0,104764.75,754271.321
601318.SH,20080201,72.39,74.75,71.32,73.99,71.81,2.18,3.04,213846.45,1572896.048
601318.SH,20080204,75.95,79.82,75.9,79.16,73.99,5.17,6.99,255250.05,1998071.465
601318.SH,20080205,78.88,78.89,76.6,77.44,79.16,-1.72,-2.17,121342.83,940250.87
601318.SH,20080213,74.0,74.5,71.5,71.92,77.44,-5.52,-7.13,143035.97,1044104.452
601318.SH,20080214,72.8,74.8,72.44,74.4,71.92,2.48,3.45,106291.1,783632.681
601318.SH,20080215,73.5,76.0,72.8,75.96,74.4,1.56,2.1,104584.65,775763.158
601318.SH,20080218,76.85,78.1,76.28,77.5,75.96,1.54,2.03,111788.98,862670.591
601318.SH,20080219,77.39,77.39,74.5,76.88,77.5,-0.62,-0.8,152563.96,1152814.175
601318.SH,20080220,76.75,76.75,73.98,74.44,76.88,-2.44,-3.17,106712.96,799007.405
