,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ave_change,pred_ave_change,real_trend,pred_trend
2066,601318.SH,20161011,34.62,34.75,34.25,34.38,34.6,-0.22,-0.64,493752.18,1701605.543,-0.09000000000000001,-0.0485567168394724,1,1
2067,601318.SH,20161012,34.26,34.44,34.2,34.3,34.38,-0.08,-0.23,308540.74,1058073.37,-0.12,-0.039556713501612294,0,0
2068,601318.SH,20161013,34.22,34.32,34.01,34.12,34.3,-0.18,-0.52,345467.45,1179218.576,0.02666666666666666,-0.033010490338007556,0,0
2069,601318.SH,20161014,34.13,34.18,34.05,34.11,34.12,-0.01,-0.03,231560.48,789617.892,0.003333333333333332,0.05903034647305811,0,0
2070,601318.SH,20161017,34.12,34.18,33.88,33.94,34.11,-0.17,-0.5,309214.43,1051714.363,0.06666666666666667,0.10558534701665247,0,0
2071,601318.SH,20161018,33.88,34.29,33.88,34.2,33.94,0.26,0.77,283360.27,967199.042,0.006666666666666668,0.02872652252515162,0,0
2072,601318.SH,20161019,34.24,34.27,34.1,34.12,34.2,-0.08,-0.23,205152.0,700734.0959999999,0.12333333333333334,0.06533396085103357,0,0
2073,601318.SH,20161020,34.16,34.24,34.11,34.14,34.12,0.02,0.06,127682.81,436313.66,0.1366666666666667,0.11590374549229944,0,0
2074,601318.SH,20161021,34.12,34.28,34.05,34.22,34.14,0.08,0.23,280031.63,955961.7,0.06666666666666667,0.11702167232831323,0,0
2075,601318.SH,20161024,34.22,34.79,34.15,34.49,34.22,0.27,0.79,420909.49,1451824.779,-0.10000000000000002,0.02644371231396998,0,0
2076,601318.SH,20161025,34.56,34.62,34.4,34.55,34.49,0.06,0.17,239719.61,826719.816,-0.006666666666666654,-0.0541565851370493,0,0
2077,601318.SH,20161026,34.56,34.64,34.39,34.42,34.55,-0.13,-0.38,197377.03,680587.63,0.06333333333333334,0.03540458520253504,0,0
2078,601318.SH,20161027,34.42,34.43,34.1,34.19,34.42,-0.23,-0.67,217643.26,744556.017,0.29000000000000004,0.13689211448033656,0,0
2079,601318.SH,20161028,34.4,34.73,34.36,34.53,34.19,0.34,0.99,325149.38,1123315.9409999999,0.026666666666666672,0.20881990035374964,0,0
2080,601318.SH,20161031,34.4,34.65,34.2,34.61,34.53,0.08,0.23,234352.96,808674.4190000001,0.12,0.059988741477330576,0,0
2081,601318.SH,20161101,34.63,35.1,34.5,35.06,34.61,0.45,1.3,367191.26,1282156.408,-0.04333333333333334,0.002332733472188364,0,0
2082,601318.SH,20161102,34.89,34.98,34.54,34.61,35.06,-0.45,-1.28,256760.31,892639.555,0.12666666666666668,0.10610728700955713,0,0
2083,601318.SH,20161103,34.59,35.09,34.52,34.97,34.61,0.36,1.04,405144.35,1412764.0119999999,0.01,0.03123448332150782,0,0
2084,601318.SH,20161104,34.88,35.16,34.87,34.93,34.97,-0.04,-0.11,264479.74,925529.772,-0.07333333333333332,0.044091544946034796,0,0
2085,601318.SH,20161107,34.98,35.05,34.88,34.99,34.93,0.06,0.17,215166.92,752624.552,-0.016666666666666653,-0.04816842238108312,0,0
2086,601318.SH,20161108,35.11,35.18,34.88,35.0,34.99,0.01,0.03,286831.68,1005144.719,-0.0033333333333333223,0.007359491189320932,0,0
2087,601318.SH,20161109,35.0,35.01,34.33,34.71,35.0,-0.29,-0.83,688345.5,2389583.0840000003,0.08,0.1083943112691244,0,0
2088,601318.SH,20161110,34.92,35.2,34.85,34.94,34.71,0.23,0.66,352803.34,1235297.8159999999,0.006666666666666668,0.0762603863080343,0,0
2089,601318.SH,20161111,34.95,35.24,34.86,34.99,34.94,0.05,0.14,523906.95,1836030.7519999999,0.01,0.0033579512437185155,0,0
2090,601318.SH,20161114,34.92,35.13,34.88,34.95,34.99,-0.04,-0.11,683571.66,2393598.9159999997,0.016666666666666663,0.038490472634633434,0,0
2091,601318.SH,20161115,34.98,35.01,34.9,34.96,34.95,0.01,0.03,286904.03,1002698.055,0.016666666666666666,0.0737542315324148,0,0
2092,601318.SH,20161116,35.0,35.1,34.91,35.02,34.96,0.06,0.17,243869.97,853899.3759999999,0.29333333333333333,0.013415680726369271,0,0
2093,601318.SH,20161117,34.99,35.02,34.8,35.0,35.02,-0.02,-0.06,238715.63,835013.724,0.37333333333333335,0.2632347031434377,1,0
