ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ave_change,pred_ave_change,real_trend,pred_trend
601318.SH,20170428,37.9,38.07,37.61,37.96,37.82,0.14,0.37,678663.87,2568647.819,-0.046666667,-0.007615071,1,1
601318.SH,20170502,37.8,38.38,37.8,37.91,37.96,-0.05,-0.13,619325.39,2359210.184,-0.216666667,-0.070225924,0,0
601318.SH,20170503,37.95,38.28,37.82,38,37.91,0.09,0.24,505383.86,1920918.772,-0.07,-0.216266159,0,0
601318.SH,20170504,37.95,38.1,37.73,37.82,38,-0.18,-0.47,548573.55,2080732.893,0.056666667,-0.002267206,0,0
601318.SH,20170505,37.7,37.86,37.2,37.26,37.82,-0.56,-1.48,623979.6,2337681.712,0.86,0.210840111,1,0
601318.SH,20170508,37.26,38.12,37.24,37.79,37.26,0.53,1.42,952932.43,3609995.304,0.66,0.611568814,1,1
601318.SH,20170509,37.71,38.08,37.71,37.99,37.79,0.2,0.53,595182.93,2258188.097,0.986666667,0.58164516,1,1
601318.SH,20170510,38.03,40.05,38.01,39.84,37.99,1.85,4.87,1589203.71,6249692.993,0.353333333,0.268698431,1,1
601318.SH,20170511,39.8,40.09,39.56,39.77,39.84,-0.07,-0.18,827794.46,3296766.911,0.44,0.370684235,1,1
601318.SH,20170512,39.7,41.3,39.7,40.95,39.77,1.18,2.97,1200171.19,4897614.123,-0.176666667,-0.008499889,0,0
601318.SH,20170515,41.22,41.96,40.62,40.9,40.95,-0.05,-0.12,716224.2,2960377.186,-0.093333333,-0.230298363,0,0
601318.SH,20170516,40.9,41.3,40.68,41.09,40.9,0.19,0.46,629862.81,2582208.68,-0.026666667,-0.150034608,0,0
601318.SH,20170517,41,41.09,40.19,40.42,41.09,-0.67,-1.63,779106.38,3156764.513,0.806666667,0.162736988,1,0
601318.SH,20170518,40.06,41.08,40.06,40.62,40.42,0.2,0.49,581678.8,2368295.17,0.85,0.68384837,1,1
601318.SH,20170519,40.59,41.33,40.59,41.01,40.62,0.39,0.96,420467.64,1727706.874,0.673333333,0.70731843,1,1
601318.SH,20170522,41.03,43.02,41.03,42.84,41.01,1.83,4.46,1025570.92,4349844.018,0.883333333,0.017455725,1,0
601318.SH,20170523,43,44.18,42.85,43.17,42.84,0.33,0.77,1060990.37,4628619.016,0.67,0.661369492,1,1
601318.SH,20170524,43,43.54,41.97,43.03,43.17,-0.14,-0.32,813519.57,3491155.434,0.68,0.646606954,1,1
601318.SH,20170525,43,45.56,42.95,45.49,43.03,2.46,5.72,1389899.96,6178137.404,0.16,-0.248775887,0,-1
601318.SH,20170526,45.4,45.85,44.86,45.18,45.49,-0.31,-0.68,783613.01,3547666.748,-0.073333333,0.174147663,0,0
601318.SH,20170531,45,47.13,44.82,45.07,45.18,-0.11,-0.24,1009977.89,4624877.831,-0.133333333,-0.035104601,0,0
601318.SH,20170601,45.4,46,44.9,45.97,45.07,0.9,2,772361.16,3513398.064,0.02,-0.385505282,0,-1
601318.SH,20170602,45.89,46.37,44.63,44.96,45.97,-1.01,-2.2,826333.57,3734938.417,0.34,0.250811954,1,0
601318.SH,20170605,44.92,45.15,44.08,44.67,44.96,-0.29,-0.65,780002.74,3468933.93,0.983333333,0.421081805,1,1
601318.SH,20170606,44.6,46.1,44.6,46.03,44.67,1.36,3.04,967169.68,4383686.411,0.703333333,0.437751123,1,1
601318.SH,20170607,46.2,46.88,45.71,45.98,46.03,-0.05,-0.11,788200.64,3645872.262,0.983333333,0.577630949,1,1
601318.SH,20170608,45.9,47.65,45.82,47.62,45.98,1.64,3.57,832171.37,3899227.565,0.273333333,0.320853557,1,1
