open,high,low,pre_close,change,pct_chg,vol,amount,close,ave_change,pred_change,real_trend,pred_trend,random_trend
37.49,38.26,37.44,37.51,0.31,0.83,1250054.58,4732657.328,37.82,0.06,-0.1715182832915712,1,1,-1
37.9,38.07,37.61,37.82,0.14,0.37,678663.87,2568647.819,37.96,-0.04666666666666667,0.020798398226070682,0,0,1
37.8,38.38,37.8,37.96,-0.05,-0.13,619325.39,2359210.184,37.91,-0.21666666666666667,0.003663431085193852,0,0,0
37.95,38.28,37.82,37.91,0.09,0.24,505383.86,1920918.7719999999,38.0,-0.06999999999999999,0.04340545698078285,0,0,1
37.95,38.1,37.73,38.0,-0.18,-0.47,548573.55,2080732.8930000002,37.82,0.056666666666666664,-0.008533802135328367,0,0,1
37.7,37.86,37.2,37.82,-0.56,-1.48,623979.6,2337681.712,37.26,0.86,-0.01078954524587333,1,0,1
37.26,38.12,37.24,37.26,0.53,1.42,952932.43,3609995.3039999995,37.79,0.66,0.03542577587183956,0,0,-1
37.71,38.08,37.71,37.79,0.2,0.53,595182.93,2258188.097,37.99,0.9866666666666667,0.035748907674143224,1,0,-1
38.03,40.05,38.01,37.99,1.85,4.87,1589203.71,6249692.993,39.84,0.3533333333333333,0.10399142626601934,0,0,0
39.8,40.09,39.56,39.84,-0.07,-0.18,827794.46,3296766.9110000003,39.77,0.43999999999999995,-0.1515471292011722,0,0,-1
39.7,41.3,39.7,39.77,1.18,2.97,1200171.19,4897614.123,40.95,-0.17666666666666667,0.44654419894490543,0,1,0
41.22,41.96,40.62,40.95,-0.05,-0.12,716224.2,2960377.186,40.9,-0.09333333333333334,-0.08144425669596247,0,0,0
40.9,41.3,40.68,40.9,0.19,0.46,629862.81,2582208.68,41.09,-0.026666666666666672,-0.07331846975874362,0,0,1
41.0,41.09,40.19,41.09,-0.67,-1.63,779106.38,3156764.5130000003,40.42,0.8066666666666666,-0.007536460083117712,1,0,0
40.06,41.08,40.06,40.42,0.2,0.49,581678.8,2368295.17,40.62,0.8500000000000001,-0.03444357474418854,1,0,-1
40.59,41.33,40.59,40.62,0.39,0.96,420467.64,1727706.874,41.01,0.6733333333333333,-0.06787805611923586,0,0,0
41.03,43.02,41.03,41.01,1.83,4.46,1025570.92,4349844.018,42.84,0.8833333333333333,0.16750700167673324,1,0,-1
43.0,44.18,42.85,42.84,0.33,0.77,1060990.37,4628619.016,43.17,0.6699999999999999,-0.1807199868416006,0,0,-1
43.0,43.54,41.97,43.17,-0.14,-0.32,813519.57,3491155.434,43.03,0.68,-0.0868995474382809,0,0,1
43.0,45.56,42.95,43.03,2.46,5.72,1389899.96,6178137.404,45.49,0.16,0.21374060148888985,0,0,-1
45.4,45.85,44.86,45.49,-0.31,-0.68,783613.01,3547666.748,45.18,-0.07333333333333332,0.11561988333460219,0,0,0
45.0,47.13,44.82,45.18,-0.11,-0.24,1009977.89,4624877.831,45.07,-0.13333333333333333,0.050171147052194595,0,0,-1
45.4,46.0,44.9,45.07,0.9,2.0,772361.16,3513398.064,45.97,0.020000000000000018,0.21698936866040294,0,0,-1
45.89,46.37,44.63,45.97,-1.01,-2.2,826333.57,3734938.417,44.96,0.34,-0.09058896252615786,0,0,-1
44.92,45.15,44.08,44.96,-0.29,-0.65,780002.74,3468933.93,44.67,0.9833333333333334,0.0683588410921496,1,0,1
44.6,46.1,44.6,44.67,1.36,3.04,967169.68,4383686.411,46.03,0.7033333333333333,0.27750985693857255,1,1,-1
46.2,46.88,45.71,46.03,-0.05,-0.11,788200.64,3645872.262,45.98,0.9833333333333334,0.15406701732543013,1,0,1
45.9,47.65,45.82,45.98,1.64,3.57,832171.37,3899227.565,47.62,0.2733333333333334,-0.12821874855595852,0,0,1
47.7,48.77,47.5,47.62,0.52,1.09,925676.74,4462205.605,48.14,-0.31,0.34668410949089834,0,1,-1
48.02,49.64,48.02,48.14,0.79,1.64,859596.8,4199730.273,48.93,-0.9166666666666666,0.4335201206193371,-1,1,0
48.75,49.2,47.9,48.93,-0.49,-1.0,670461.22,3245558.6010000003,48.44,-0.58,0.26744770799440826,0,1,-1
48.63,48.84,47.0,48.44,-1.23,-2.54,834013.97,3974060.287,47.21,0.45,-0.11392558535473912,0,0,-1
47.19,47.47,45.91,47.21,-1.03,-2.18,1041983.33,4833899.744,46.18,0.64,-0.05233061526154551,0,0,0
46.1,47.18,46.1,46.18,0.52,1.13,807231.42,3777604.44,46.7,0.9100000000000001,0.18208388821153967,1,0,1
46.96,48.63,46.69,46.7,1.86,3.98,808481.91,3869638.235,48.56,0.19333333333333336,-0.34390031526945924,0,-1,1
48.77,48.93,47.67,48.56,-0.46,-0.95,616355.33,2962329.659,48.1,0.54,0.2702989328892034,0,1,-1
48.3,49.56,47.56,48.1,1.33,2.77,849757.18,4147969.142,49.43,0.09666666666666666,0.22282086110663188,0,0,0
49.2,50.47,49.05,49.43,-0.29,-0.59,1146464.05,5715913.249,49.14,0.26,0.23569577715322818,0,0,1
49.24,49.9,48.79,49.14,0.58,1.18,873719.64,4310012.062,49.72,-0.37000000000000005,0.43251012454132787,0,1,-1
49.99,50.77,49.35,49.72,0.0,0.0,953192.55,4760578.482,49.72,0.08,0.3464868184082203,0,1,0
49.7,49.95,48.93,49.72,0.2,0.4,780835.85,3855524.441,49.92,-0.10333333333333332,0.3912892295079754,0,1,1
49.7,49.74,48.55,49.92,-1.31,-2.62,691322.47,3393564.25,48.61,0.10999999999999999,-0.0780647802899975,0,0,1
48.8,50.05,48.38,48.61,1.35,2.78,753228.75,3715241.204,49.96,-0.68,0.18833639579034064,0,0,0
49.8,50.2,49.28,49.96,-0.35,-0.7,598630.98,2974857.809,49.61,0.27,0.2799915901582699,0,1,-1
49.8,49.8,48.55,49.61,-0.67,-1.35,563199.18,2755923.273,48.94,0.8166666666666668,0.21121585056902623,1,0,0
48.8,48.84,47.91,48.94,-1.02,-2.08,683920.65,3299813.3819999998,47.92,1.03,0.06223205544792849,1,0,1
48.0,50.7,48.0,47.92,2.5,5.22,1272537.22,6293926.168,50.42,0.23666666666666666,0.48466952173607847,0,1,1
50.42,52.0,50.07,50.42,0.97,1.92,1137814.8,5793924.187999999,51.39,0.13,0.489494474312484,0,1,-1
51.15,51.62,50.53,51.39,-0.38,-0.74,533925.98,2727331.058,51.01,0.05000000000000001,0.13951252940838355,0,0,0
51.02,51.96,50.69,51.01,0.12,0.24,570776.01,2938274.374,51.13,0.35000000000000003,0.19695549197402093,0,0,1
50.81,52.01,50.61,50.58,0.65,1.29,699539.63,3600296.755,51.23,0.5133333333333333,0.24478324793967324,0,0,-1
51.36,52.5,50.42,51.23,-0.62,-1.21,870117.34,4490986.366,50.61,1.0966666666666667,0.15626591338435344,1,0,-1
50.98,51.86,50.83,50.61,1.02,2.02,665342.98,3418210.961,51.63,0.6133333333333332,0.18398998738822034,0,0,-1
51.69,52.79,51.3,51.63,1.14,2.21,707791.62,3681295.002,52.77,0.35666666666666663,0.10306168621506986,0,0,1
53.01,55.09,52.42,52.77,1.13,2.14,1408791.34,7585579.25,53.9,0.036666666666666674,0.6603653703082454,0,1,1
53.6,54.26,52.51,53.9,-0.43,-0.8,879029.53,4697173.72,53.47,-0.5033333333333333,0.08404250156111315,0,0,-1
53.68,54.48,53.11,53.47,0.37,0.69,771180.69,4138848.1089999997,53.84,-0.41,0.01247395770063731,0,0,-1
53.55,54.15,52.82,53.84,0.17,0.32,659198.74,3528872.923,54.01,-0.5666666666666667,-0.118545081094213,0,0,1
53.2,53.28,51.9,54.01,-2.05,-3.8,1294791.93,6811105.692000001,51.96,-0.023333333333333317,0.07653389202879479,0,0,-1
52.08,53.1,51.68,51.96,0.65,1.25,904595.93,4749136.592,52.61,-0.08333333333333333,0.31741509326617334,0,1,0
52.62,53.05,52.18,52.61,-0.3,-0.57,506834.83,2670578.6119999997,52.31,-0.13999999999999999,-0.047330894488244506,0,0,1
52.1,52.5,51.28,52.31,-0.42,-0.8,657610.87,3403982.4680000003,51.89,0.043333333333333335,0.08857342210295358,0,0,0
51.85,52.74,51.09,51.89,0.47,0.91,667132.94,3456657.893,52.36,0.8300000000000001,0.08775280013739803,1,0,-1
52.2,52.46,51.8,52.36,-0.47,-0.9,491294.73,2557067.863,51.89,0.7166666666666667,-0.00472785449004634,1,0,-1
51.88,52.64,51.41,51.89,0.13,0.25,616005.07,3210189.249,52.02,0.3,0.1053328840002433,0,0,1
52.2,54.9,52.2,52.02,2.83,5.44,1147936.61,6170850.61,54.85,-0.9700000000000001,0.2432058207455544,-1,0,1
54.81,54.82,53.88,54.85,-0.81,-1.48,723817.45,3925861.501,54.04,-0.5733333333333334,0.005061744986456883,0,0,0
54.04,54.48,52.88,54.04,-1.12,-2.07,565311.64,3036337.5439999998,52.92,-0.15666666666666665,-0.0022264336530438897,0,0,-1
52.99,53.19,51.85,52.92,-0.98,-1.85,666087.38,3494563.811,51.94,0.04,0.0633132314551777,0,0,1
51.91,52.84,51.53,51.94,0.38,0.73,523852.17,2738587.9439999997,52.32,-0.53,-0.08965059780836804,0,0,1
52.3,52.56,51.91,52.32,0.13,0.25,367322.51,1917168.051,52.45,-0.9566666666666667,-0.1730651153296783,-1,0,1
52.35,52.84,52.0,52.45,-0.39,-0.74,410734.11,2149503.758,52.06,-0.5233333333333333,-0.07660417563300706,0,0,0
52.07,52.45,50.51,52.06,-1.33,-2.55,846423.15,4333370.708000001,50.73,0.0566666666666667,-0.04595299863093542,0,0,0
50.2,50.73,49.53,50.73,-1.15,-2.27,828145.63,4147670.9280000003,49.58,0.5433333333333333,0.016281055715432043,0,0,0
49.99,51.0,49.64,49.58,0.91,1.84,791494.96,3992982.202,50.49,0.20333333333333334,0.37821358849158154,0,1,0
50.8,51.56,50.6,50.49,0.41,0.81,680849.53,3482968.11,50.9,0.7566666666666667,0.27247118718805147,1,1,0
50.85,51.29,50.53,50.9,0.31,0.61,340851.06,1735515.8530000001,51.21,0.6066666666666666,-0.04318372442387417,0,0,0
51.47,51.83,50.87,51.21,-0.11,-0.21,374711.48,1922044.261,51.1,1.3666666666666665,0.05723776921854518,1,0,-1
52.4,53.86,51.62,51.1,2.07,4.05,1176428.75,6204026.735,53.17,0.7433333333333333,0.06511029293570725,1,0,-1
53.4,54.28,52.78,53.17,-0.14,-0.26,716152.54,3834637.735,53.03,0.6966666666666667,0.012716600114557684,1,0,1
53.41,55.26,53.32,53.03,2.17,4.09,1009896.78,5503927.188999999,55.2,0.20999999999999996,-0.12577897261471013,0,0,1
55.01,55.83,54.82,55.2,0.2,0.36,564884.35,3124559.298,55.4,0.26666666666666666,-0.4234483724476805,0,-1,0
55.55,56.28,54.95,55.4,-0.28,-0.51,560654.76,3111185.225,55.12,0.6466666666666666,-0.26186366902770253,0,-1,1
54.9,56.22,54.84,55.12,0.71,1.29,743106.0,4147141.4560000002,55.83,0.19333333333333333,-0.18019665614765126,0,0,-1
