ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000001.SH,20110701,2759.362,2767.834,2778.668,2752.966,2762.076,-2.714,-0.0983,92072878.0,105453231.5054
000001.SH,20110704,2812.818,2770.94,2813.27,2770.94,2759.362,53.456,1.9373,121962260.0,143818650.5882
000001.SH,20110705,2816.355,2812.722,2818.141,2799.11,2812.818,3.537,0.1257,110124224.0,128654526.186
000001.SH,20110706,2810.479,2811.815,2811.815,2780.728,2816.355,-5.876,-0.2086,103104393.0,122088884.7149
000001.SH,20110707,2794.267,2813.193,2825.123,2793.892,2810.479,-16.212,-0.5768,116512143.0,140065119.725
000001.SH,20110708,2797.774,2797.026,2807.38,2784.126,2794.267,3.507,0.1255,86211609.0,102765056.015
000001.SH,20110711,2802.692,2789.454,2807.322,2780.665,2797.774,4.918,0.1758,86063595.0,101442076.053
000001.SH,20110712,2754.582,2783.722,2783.722,2752.186,2802.692,-48.11,-1.7166,96674475.0,111535233.112
000001.SH,20110713,2795.476,2756.032,2797.266,2756.032,2754.582,40.894,1.4846,91929128.0,107695952.064
000001.SH,20110714,2810.444,2798.212,2811.704,2788.983,2795.476,14.968,0.5354,104502080.0,125648830.383
000001.SH,20110715,2820.169,2803.585,2821.339,2794.159,2810.444,9.725,0.346,107470064.0,127720321.009
000001.SH,20110718,2816.688,2821.358,2826.959,2807.108,2820.169,-3.481,-0.1234,108108623.0,129581321.226
000001.SH,20110719,2796.983,2804.923,2809.315,2790.685,2816.688,-19.705,-0.6996,92740884.0,110120383.51
000001.SH,20110720,2794.205,2810.436,2817.285,2779.381,2796.983,-2.778,-0.0993,84030616.0,99677739.096
000001.SH,20110721,2765.894,2795.896,2799.852,2763.418,2794.205,-28.311,-1.0132,81760582.0,95769511.827
000001.SH,20110722,2770.79,2769.863,2782.169,2763.8,2765.894,4.896,0.177,70211837.0,82498349.719
000001.SH,20110725,2688.746,2759.628,2759.628,2680.747,2770.79,-82.044,-2.961,111242249.0,120856437.817
000001.SH,20110726,2703.026,2685.754,2704.939,2677.119,2688.746,14.28,0.5311,72881454.0,79482934.662
000001.SH,20110727,2723.492,2690.144,2726.801,2680.433,2703.026,20.466,0.7572,80407781.0,92082368.241
000001.SH,20110728,2708.777,2701.771,2712.09,2684.661,2723.492,-14.715,-0.5403,78474915.0,90451815.581
000001.SH,20110729,2701.729,2706.497,2721.53,2681.272,2708.777,-7.048,-0.2602,75471655.0,83784760.931
000001.SH,20110801,2703.783,2697.575,2712.888,2688.529,2701.729,2.054,0.076,59000711.0,66073995.356
000001.SH,20110802,2679.259,2689.971,2689.971,2651.28,2703.783,-24.524,-0.907,69993181.0,77994116.095
000001.SH,20110803,2678.485,2659.118,2688.065,2654.364,2679.259,-0.774,-0.0289,63981610.0,73381007.588
000001.SH,20110804,2684.039,2683.192,2698.815,2675.534,2678.485,5.554,0.2074,58872111.0,69338641.969
000001.SH,20110805,2626.423,2620.277,2644.581,2605.137,2684.039,-57.616,-2.1466,78571833.0,87777759.968
000001.SH,20110808,2526.816,2599.289,2614.19,2497.918,2626.423,-99.607,-3.7925,110302496.0,117550544.112
000001.SH,20110809,2526.07,2468.032,2537.409,2437.681,2526.816,-0.746,-0.0295,103723892.0,107745074.507
000001.SH,20110810,2549.176,2562.393,2579.156,2544.952,2526.07,23.106,0.9147,100369343.0,104038322.989
000001.SH,20110811,2581.508,2508.857,2582.155,2505.012,2549.176,32.332,1.2683,95597265.0,100089141.534
000001.SH,20110812,2593.173,2593.395,2605.447,2585.846,2581.508,11.665,0.4519,97171206.0,100034768.305
000001.SH,20110815,2626.77,2598.138,2627.104,2584.407,2593.173,33.597,1.2956,88676842.0,90997350.623
000001.SH,20110816,2608.166,2627.854,2636.36,2601.501,2626.77,-18.604,-0.7082,85226861.0,90247920.858
000001.SH,20110817,2601.261,2603.961,2617.165,2596.039,2608.166,-6.905,-0.2647,70109146.0,72200596.507
000001.SH,20110818,2559.472,2601.99,2603.485,2556.859,2601.261,-41.789,-1.6065,70989277.0,76087950.237
000001.SH,20110819,2534.358,2519.645,2538.272,2513.754,2559.472,-25.114,-0.9812,70606801.0,73771901.698
000001.SH,20110822,2515.863,2534.57,2553.415,2507.782,2534.358,-18.495,-0.7298,61214429.0,65524542.977
000001.SH,20110823,2554.019,2524.877,2554.178,2514.949,2515.863,38.156,1.5166,60944193.0,63210700.214
000001.SH,20110824,2541.091,2562.411,2569.278,2536.256,2554.019,-12.928,-0.5062,65462469.0,70690689.369
000001.SH,20110825,2615.261,2546.402,2616.304,2545.054,2541.091,74.17,2.9188,104537978.0,104570297.571
000001.SH,20110826,2612.188,2602.208,2616.636,2593.238,2615.261,-3.073,-0.1175,77850450.0,81503341.252
000001.SH,20110829,2576.413,2595.466,2595.466,2570.844,2612.188,-35.775,-1.3695,73696095.0,78406747.865
000001.SH,20110830,2566.595,2592.597,2615.135,2563.689,2576.413,-9.818,-0.3811,75910686.0,79541815.163
000001.SH,20110831,2567.34,2566.529,2574.415,2545.096,2566.595,0.745,0.029,59169720.0,62236266.864
000001.SH,20110901,2556.042,2569.799,2584.804,2547.855,2567.34,-11.298,-0.4401,57290927.0,59881555.987
000001.SH,20110902,2528.28,2551.556,2557.31,2517.618,2556.042,-27.762,-1.0861,54436581.0,55969022.194
000001.SH,20110905,2478.739,2510.1,2510.1,2478.195,2528.28,-49.541,-1.9595,55031066.0,56402274.346
000001.SH,20110906,2470.524,2465.565,2482.242,2459.543,2478.739,-8.215,-0.3314,49223173.0,50140331.683
000001.SH,20110907,2516.09,2480.941,2516.754,2475.218,2470.524,45.566,1.8444,59665860.0,61951469.219
000001.SH,20110908,2498.943,2523.962,2524.377,2498.113,2516.09,-17.147,-0.6815,55271952.0,60046842.303
000001.SH,20110909,2497.753,2506.969,2528.422,2487.145,2498.943,-1.19,-0.0476,51253380.0,53535159.299
000001.SH,20110913,2471.305,2467.73,2477.083,2453.796,2497.753,-26.448,-1.0589,49930919.0,51851701.382
000001.SH,20110914,2484.827,2478.586,2485.934,2439.372,2471.305,13.522,0.5472,54065977.0,54761652.533
000001.SH,20110915,2479.055,2482.859,2496.572,2477.651,2484.827,-5.772,-0.2323,56003688.0,55860904.582
000001.SH,20110916,2482.343,2490.177,2499.481,2475.758,2479.055,3.288,0.1326,47986854.0,49584868.842
000001.SH,20110919,2437.795,2469.6,2469.6,2437.165,2482.343,-44.548,-1.7946,48746822.0,48599667.204
000001.SH,20110920,2447.755,2433.721,2460.034,2426.703,2437.795,9.96,0.4086,46265892.0,47956372.39
000001.SH,20110921,2512.963,2450.116,2517.673,2438.852,2447.755,65.208,2.664,86689276.0,88188034.883
000001.SH,20110922,2443.057,2491.212,2499.976,2442.462,2512.963,-69.906,-2.7818,74695409.0,74891290.554
000001.SH,20110923,2433.159,2411.833,2440.751,2400.141,2443.057,-9.898,-0.4051,67302693.0,67947197.759
000001.SH,20110926,2393.183,2416.226,2441.729,2384.64,2433.159,-39.976,-1.643,57425042.0,58915927.605
000001.SH,20110927,2415.054,2410.991,2423.913,2395.164,2393.183,21.871,0.9139,55231432.0,55315102.091
000001.SH,20110928,2392.062,2427.289,2430.27,2383.396,2415.054,-22.992,-0.952,55758447.0,55720881.056
000001.SH,20110929,2365.343,2378.423,2387.538,2358.572,2392.062,-26.719,-1.117,59191239.0,57021447.534
000001.SH,20110930,2359.22,2368.398,2377.541,2348.217,2365.343,-6.123,-0.2589,48818372.0,46104608.498
000001.SH,20111010,2344.787,2363.078,2368.149,2338.685,2359.22,-14.433,-0.6118,41745306.0,39926413.16
000001.SH,20111011,2348.516,2401.738,2412.376,2323.412,2344.787,3.729,0.159,63975806.0,62773516.01
000001.SH,20111012,2420.0,2335.488,2421.693,2318.628,2348.516,71.484,3.0438,91508568.0,84438390.265
000001.SH,20111013,2438.79,2412.832,2439.64,2406.282,2420.0,18.79,0.7764,87860106.0,82192311.755
000001.SH,20111014,2431.375,2429.885,2437.594,2409.288,2438.79,-7.415,-0.304,60673160.0,58276063.53
000001.SH,20111017,2440.402,2434.486,2452.99,2424.726,2431.375,9.027,0.3713,58267682.0,57704518.652
000001.SH,20111018,2383.485,2423.282,2425.646,2378.667,2440.402,-56.917,-2.3323,79525744.0,69338909.189
000001.SH,20111019,2377.512,2387.831,2401.688,2374.417,2383.485,-5.973,-0.2506,58534637.0,53173514.652
000001.SH,20111020,2331.366,2365.909,2368.64,2315.9,2377.512,-46.146,-1.9409,65425215.0,57867763.724
000001.SH,20111021,2317.275,2330.512,2340.315,2313.782,2331.366,-14.091,-0.6044,48436725.0,43725376.635
000001.SH,20111024,2370.333,2322.02,2371.092,2307.146,2317.275,53.058,2.2897,70874071.0,62971553.897
000001.SH,20111025,2409.672,2366.398,2414.049,2357.387,2370.333,39.339,1.6596,90888876.0,83635006.493
000001.SH,20111026,2427.48,2398.19,2448.98,2394.73,2409.672,17.808,0.739,107447168.0,98578021.068
000001.SH,20111027,2435.614,2432.473,2449.701,2426.315,2427.48,8.134,0.3351,82408961.0,75098560.018
000001.SH,20111028,2473.41,2462.085,2483.759,2456.177,2435.614,37.796,1.5518,110032721.0,104186688.309
000001.SH,20111031,2468.25,2470.254,2478.307,2455.205,2473.41,-5.16,-0.2086,84172562.0,81783447.175
