,ts_code,trade_date,open_x,high_x,low_x,close_x,pre_close_x,change_x,pct_chg_x,vol_x,amount_x,close_y,open_y,high_y,low_y,pre_close_y,change_y,pct_chg_y,vol_y,amount_y,ave_change,pred_ave_change,real_trend,pred_trend
1317,000002.SZ,20170714,24.45,24.83,24.36,24.59,24.43,0.16,0.65,201797.31,495832.29299999995,3222.4168,3212.0316,3222.9784,3204.8529,3218.1632,4.2536,0.1322,160126773.0,174312138.1,0.2533333333333333,0.20495023945967344,1,1
1318,000002.SZ,20170718,25.58,25.8,24.88,25.3,24.59,0.71,2.89,791833.77,2004962.4419999998,3187.5672,3159.7318,3187.671,3150.1284,3176.4648,11.1024,0.3495,190623060.0,196452361.5,-0.17333333333333334,0.053219404617945235,-1,0
1319,000002.SZ,20170719,24.85,26.06,24.43,25.14,25.3,-0.16,-0.63,1008070.7,2526934.175,3230.9762,3181.4015,3232.9408,3179.73,3187.5672,43.409,1.3618,272420726.0,269771019.5,-0.4466666666666666,-0.134650782843431,-1,-1
1320,000002.SZ,20170720,24.85,25.64,24.73,25.35,25.14,0.21,0.84,633677.05,1598967.701,3244.8647,3227.5056,3246.236,3225.4328,3230.9762,13.8885,0.4299,232108392.0,245825421.9,-0.6966666666666667,-0.42758882006009435,-1,-1
1321,000002.SZ,20170721,25.19,25.64,24.65,24.78,25.35,-0.57,-2.25,477662.55,1195588.636,3237.9817,3236.5881,3247.7122,3231.9556,3244.8647,-6.882999999999999,-0.2121,206003251.0,221956909.9,-0.45333333333333337,-0.38244267990191794,-1,-1
1322,000002.SZ,20170724,24.7,24.72,23.38,23.8,24.78,-0.98,-3.95,835260.09,2000738.2,3250.5989,3230.8979999999997,3261.1046,3230.0705,3237.9817,12.6172,0.3897,233056399.0,250631194.2,-0.26666666666666666,-0.1810746385653815,-1,-1
1323,000002.SZ,20170725,23.6,23.74,23.22,23.26,23.8,-0.54,-2.27,362654.8,849637.9190000001,3243.6894,3249.1376,3261.6454,3233.1376,3250.5989,-6.9095,-0.2126,205573873.0,213405498.9,0.12333333333333334,-0.0899644102652869,1,0
1324,000002.SZ,20170726,23.28,23.68,23.23,23.42,23.26,0.16,0.69,307159.42,719797.707,3247.6748,3244.4608,3264.8483,3228.0389,3243.6894,3.9854,0.1229,213542005.0,228460518.5,-0.016666666666666663,0.07833289603392271,0,0
1325,000002.SZ,20170727,23.45,23.63,22.94,23.0,23.42,-0.42,-1.79,426351.28,991318.7790000001,3249.7814,3243.765,3251.9261,3220.6366,3247.6748,2.1066,0.0649,228485945.0,242572081.4,0.13999999999999999,0.008717943529287847,1,0
1326,000002.SZ,20170728,23.0,23.84,23.0,23.63,23.0,0.63,2.74,412507.68,971981.311,3253.2404,3240.1728,3256.3706,3232.9634,3249.7814,3.4589999999999996,0.1064,182226880.0,198428584.0,-0.016666666666666673,-0.0884071587522826,0,0
