ts_code_x,trade_date,open_x,high_x,low_x,close_x,pre_close_x,change_x,pct_chg_x,vol_x,amount_x,ts_code_y,close_y,open_y,high_y,low_y,pre_close_y,change_y,pct_chg_y,vol_y,amount_y,ma,data_dif,data_dea,data_macd,kdj_k,kdj_d,kdj_j,bias,rsi,roc,psy,ave_change
000002.SZ,20110701,8.43,8.81,8.4,8.68,8.45,0.23,2.72,1277998.67,1105772.0376,000001.SH,2759.362,2767.8340000000003,2778.6679999999997,2752.966,2762.0759999999996,-2.714,-0.0983,92072878.0,105453231.5054,8.68,0.0,0.0,0.0,68.29268292682909,68.29268292682909,68.29268292682909,0.0,0.0,0.0,100.0,0.04666666666666667
000002.SZ,20110704,8.73,8.97,8.68,8.71,8.68,0.03,0.35,832629.39,732819.5981,000001.SH,2812.8179999999998,2770.94,2813.27,2770.94,2759.362,53.456,1.9373,121962260.0,143818650.5882,8.695,0.0006730769230749445,0.0003739316239305247,0.0005982905982888396,72.68292682926828,70.9268292682926,76.19512195121965,0.1725129384703918,100.0,0.3444316877152828,100.0,0.02
000002.SZ,20110705,8.71,9.02,8.71,8.84,8.71,0.13,1.49,1470530.64,1307364.4549,000001.SH,2816.355,2812.722,2818.1409999999996,2799.11,2812.8179999999998,3.537,0.1257,110124224.0,128654526.186,8.743333333333334,0.004888925818129053,0.0022243390805692658,0.005329173475119574,89.08857509627718,79.52976150260108,108.20620228362941,1.1056042699199289,100.0,1.8099547511312233,100.0,-0.006666666666666668
000002.SZ,20110706,8.85,8.88,8.71,8.82,8.84,-0.02,-0.23,609540.69,535594.5469,000001.SH,2810.4790000000003,2811.815,2811.815,2780.728,2816.355,-5.876,-0.2086,103104393.0,122088884.7149,8.7625,0.005964468999733796,0.00349132076050305,0.004946296478461493,94.63414634146334,85.80389058951309,112.29465784536382,0.6562054208274009,87.50000000000028,1.5873015873015937,75.0,-0.023333333333333334
000002.SZ,20110707,8.84,8.98,8.55,8.77,8.82,-0.05,-0.57,846650.1,744421.8828,000001.SH,2794.2670000000003,2813.1929999999998,2825.123,2793.8920000000003,2810.4790000000003,-16.212,-0.5768,116512143.0,140065119.725,8.764,0.004433720919870154,0.00377166350186642,0.0013241148360074685,92.94879204716204,88.5467200590371,101.75293602341193,0.06846188954815413,56.249999999999865,1.0262257696693258,60.0,-0.09000000000000001
000002.SZ,20110708,8.73,8.9,8.73,8.82,8.77,0.05,0.57,509852.92,450161.2205,000001.SH,2797.7740000000003,2797.026,2807.38,2784.1259999999997,2794.2670000000003,3.5069999999999997,0.1255,86211609.0,102765056.015,8.773333333333332,0.005568223792378646,0.004258631227415098,0.0026191851299270964,96.41665138455888,91.42249947573153,106.40495520221359,0.5319148936170438,66.66666666666666,1.5873015873015937,66.66666666666666,-0.07
000002.SZ,20110711,8.75,8.78,8.6,8.75,8.82,-0.07,-0.79,426939.43,371834.3832,000001.SH,2802.692,2789.454,2807.322,2780.665,2797.7740000000003,4.918,0.1758,86063595.0,101442076.05299999,8.77,0.0030287628610903283,0.003947384353800733,-0.0018372429854208085,94.89018124505523,92.6502508161089,99.37004210294788,-0.22805017103762343,33.33333333333333,0.8000000000000033,57.14285714285714,-0.05666666666666667
000002.SZ,20110712,8.66,8.67,8.42,8.5,8.75,-0.25,-2.86,621564.65,529494.4770000001,000001.SH,2754.5820000000003,2783.722,2783.722,2752.1859999999997,2802.692,-48.11,-1.7166,96674475.0,111535233.112,8.736249999999998,-0.010612674276947232,0.00044832846286875895,-0.02212200547963198,74.82280196148093,86.46648703417846,51.53543181608589,-2.7042495349835263,-85.71428571428524,-2.117647058823526,50.0,-0.02333333333333333
000002.SZ,20110713,8.49,8.71,8.47,8.61,8.5,0.11,1.29,426684.23,366503.8966,000001.SH,2795.4759999999997,2756.032,2797.2659999999996,2756.032,2754.5820000000003,40.894,1.4846,91929128.0,107695952.064,8.722222222222221,-0.01444013621439133,-0.0029909807396324645,-0.022898310949517733,75.83410008524717,82.82770497941146,61.84689029691859,-1.2866242038216535,-21.87500000000007,-0.8130081300813041,55.55555555555556,-0.08333333333333333
000002.SZ,20110714,8.62,8.71,8.51,8.58,8.61,-0.03,-0.35,440302.9,378417.4448,000001.SH,2810.4440000000004,2798.212,2811.704,2788.9829999999997,2795.4759999999997,14.968,0.5354,104502080.0,125648830.38299999,8.707999999999998,-0.018490427752649197,-0.006463756612212543,-0.02405334228087331,71.8197857038957,79.09364422801161,57.27206865566387,-1.4699127239319976,-31.24999999999986,-1.1655011655011613,50.0,-0.03
000002.SZ,20110715,8.4,8.5,8.28,8.43,8.58,-0.15,-1.75,715408.76,599605.7736,000001.SH,2820.1690000000003,2803.585,2821.3390000000004,2794.159,2810.4440000000004,9.725,0.34600000000000003,107470064.0,127720321.009,8.682727272727272,-0.02914925535440993,-0.011427214113515676,-0.035444082481788514,70.59294634895274,76.22693619963596,59.32496664758628,-2.9106899801067874,-78.12499999999993,-2.965599051008304,45.45454545454545,0.01333333333333333
000002.SZ,20110718,8.39,8.39,8.24,8.36,8.43,-0.07,-0.83,618290.38,513948.0647,000001.SH,2816.688,2821.3579999999997,2826.9590000000003,2807.1079999999997,2820.1690000000003,-3.4810000000000003,-0.1234,108108623.0,129581321.22600001,8.655833333333332,-0.040412371077685805,-0.0176520102388725,-0.04552072167762661,73.75298642351862,75.39588104411186,70.46719718233214,-3.4177337055935215,33.33333333333333,-3.8277511961722523,41.66666666666667,0.01333333333333333
000002.SZ,20110719,8.28,8.55,8.25,8.49,8.36,0.13,1.56,848732.4,716771.5814,000001.SH,2796.9829999999997,2804.923,2809.315,2790.685,2816.688,-19.705,-0.6996,92740884.0,110120383.51,8.639999999999999,-0.04088585399623845,-0.022569098792311195,-0.036633510407854515,104.8841723987619,85.27607823199014,144.10036073230543,-1.736111111111095,41.2844036697248,-2.5912838633686763,41.66666666666667,-0.023333333333333334
000002.SZ,20110720,8.5,8.54,8.42,8.47,8.49,-0.02,-0.24,296115.05,250915.4955,000001.SH,2794.205,2810.4359999999997,2817.285,2779.381,2796.9829999999997,-2.778,-0.0993,84030616.0,99677739.096,8.619999999999997,-0.041868363784457685,-0.026606519428153758,-0.030523688712607855,121.08940352517392,97.2548865866937,168.75843740213438,-1.7401392111368545,38.88888888888888,-4.3683589138134495,33.33333333333333,-0.11
000002.SZ,20110721,8.48,8.51,8.33,8.4,8.47,-0.07,-0.83,292770.29,246065.3302,000001.SH,2765.8940000000002,2795.8959999999997,2799.8520000000003,2763.4179999999997,2794.205,-28.311,-1.0132,81760582.0,95769511.827,8.58333333333333,-0.04622903607909912,-0.030674139413420422,-0.03110979333135739,116.27082057558127,103.60803968019856,141.59638236634666,-2.1359223300970496,28.431372549019663,-4.999999999999999,25.0,-0.06666666666666667
000002.SZ,20110722,8.42,8.49,8.35,8.42,8.4,0.02,0.24,194140.8,163367.23,000001.SH,2770.79,2769.863,2782.1690000000003,2763.8,2765.8940000000002,4.896,0.177,70211837.0,82498349.719,8.549999999999997,-0.047743845215771685,-0.03418695761606859,-0.027113775199406193,117.51577575183552,108.25102035819671,136.04528653911314,-1.520467836257278,30.392156862745107,-4.156769596199521,33.33333333333333,-0.09333333333333334
