ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000002.SZ,20110701,8.43,8.81,8.4,8.68,8.45,0.23,2.72,1277998.67,1105772.0376
000002.SZ,20110704,8.73,8.97,8.68,8.71,8.68,0.03,0.35,832629.39,732819.5981
000002.SZ,20110705,8.71,9.02,8.71,8.84,8.71,0.13,1.49,1470530.64,1307364.4549
000002.SZ,20110706,8.85,8.88,8.71,8.82,8.84,-0.02,-0.23,609540.69,535594.5469
000002.SZ,20110707,8.84,8.98,8.55,8.77,8.82,-0.05,-0.57,846650.1,744421.8828
000002.SZ,20110708,8.73,8.9,8.73,8.82,8.77,0.05,0.57,509852.92,450161.2205
000002.SZ,20110711,8.75,8.78,8.6,8.75,8.82,-0.07,-0.79,426939.43,371834.3832
000002.SZ,20110712,8.66,8.67,8.42,8.5,8.75,-0.25,-2.86,621564.65,529494.477
000002.SZ,20110713,8.49,8.71,8.47,8.61,8.5,0.11,1.29,426684.23,366503.8966
000002.SZ,20110714,8.62,8.71,8.51,8.58,8.61,-0.03,-0.35,440302.9,378417.4448
000002.SZ,20110715,8.4,8.5,8.28,8.43,8.58,-0.15,-1.75,715408.76,599605.7736
000002.SZ,20110718,8.39,8.39,8.24,8.36,8.43,-0.07,-0.83,618290.38,513948.0647
000002.SZ,20110719,8.28,8.55,8.25,8.49,8.36,0.13,1.56,848732.4,716771.5814
000002.SZ,20110720,8.5,8.54,8.42,8.47,8.49,-0.02,-0.24,296115.05,250915.4955
000002.SZ,20110721,8.48,8.51,8.33,8.4,8.47,-0.07,-0.83,292770.29,246065.3302
000002.SZ,20110722,8.42,8.49,8.35,8.42,8.4,0.02,0.24,194140.8,163367.23
000002.SZ,20110725,8.31,8.35,8.1,8.14,8.42,-0.28,-3.33,478412.85,392377.0821
000002.SZ,20110726,8.14,8.22,8.14,8.2,8.14,0.06,0.74,256070.99,209478.6655
000002.SZ,20110727,8.13,8.21,8.08,8.14,8.2,-0.06,-0.73,296620.71,241775.9797
000002.SZ,20110728,8.1,8.15,8.01,8.11,8.14,-0.03,-0.37,291102.95,235329.5665
000002.SZ,20110729,8.1,8.2,8.05,8.15,8.11,0.04,0.49,241440.28,196639.9008
000002.SZ,20110801,8.15,8.3,8.11,8.29,8.15,0.14,1.72,234297.61,193543.9929
000002.SZ,20110802,8.24,8.31,8.13,8.27,8.29,-0.02,-0.24,213267.74,175731.2106
000002.SZ,20110803,8.24,8.37,8.22,8.35,8.27,0.08,0.97,355567.38,295345.6606
000002.SZ,20110804,8.36,8.39,8.3,8.31,8.35,-0.04,-0.48,136550.56,113867.7923
000002.SZ,20110805,8.16,8.27,8.12,8.18,8.31,-0.13,-1.56,306128.04,250823.1781
000002.SZ,20110808,8.14,8.26,7.95,8.06,8.18,-0.12,-1.47,523375.91,425711.7736
000002.SZ,20110809,7.99,8.45,7.94,8.3,8.06,0.24,2.98,943478.53,778470.37
000002.SZ,20110810,8.5,8.58,8.37,8.44,8.3,0.14,1.69,823681.62,698674.3106
000002.SZ,20110811,8.37,8.68,8.35,8.55,8.44,0.11,1.3,760522.08,650754.597
000002.SZ,20110812,8.53,8.59,8.41,8.43,8.55,-0.12,-1.4,424572.36,360006.8524
000002.SZ,20110815,8.43,8.55,8.33,8.5,8.43,0.07,0.83,444015.76,374718.3982
000002.SZ,20110816,8.44,8.5,8.33,8.36,8.5,-0.14,-1.65,390971.46,328778.209
000002.SZ,20110817,8.33,8.4,8.15,8.22,8.36,-0.14,-1.67,438625.76,361179.6806
000002.SZ,20110818,8.22,8.23,8.08,8.14,8.22,-0.08,-0.97,419637.96,340681.555
000002.SZ,20110819,8.03,8.19,8.03,8.14,8.14,0.0,0.0,492715.8,399849.9531
000002.SZ,20110822,8.12,8.16,8.05,8.08,8.14,-0.06,-0.74,202723.17,164003.1522
000002.SZ,20110823,8.12,8.26,8.1,8.22,8.08,0.14,1.73,312150.98,256222.5083
000002.SZ,20110824,8.25,8.28,8.15,8.16,8.22,-0.06,-0.73,138239.45,113491.4756
000002.SZ,20110825,8.2,8.46,8.14,8.44,8.16,0.28,3.43,532834.74,444368.2833
000002.SZ,20110826,8.39,8.45,8.31,8.38,8.44,-0.06,-0.71,265807.62,222779.449
000002.SZ,20110829,8.3,8.36,8.1,8.17,8.38,-0.21,-2.51,311558.52,255401.5406
000002.SZ,20110830,8.22,8.28,8.1,8.14,8.17,-0.03,-0.37,321466.17,262573.6564
000002.SZ,20110831,8.11,8.17,8.09,8.15,8.14,0.01,0.12,210926.21,171367.2084
000002.SZ,20110901,8.16,8.19,8.1,8.14,8.15,-0.01,-0.12,166844.59,135879.1196
000002.SZ,20110902,8.13,8.16,8.04,8.1,8.14,-0.04,-0.49,303436.93,245290.0592
000002.SZ,20110905,8.08,8.11,8.0,8.03,8.1,-0.07,-0.86,307995.52,247211.2658
000002.SZ,20110906,8.0,8.05,7.95,8.0,8.03,-0.03,-0.37,278107.84,222576.9357
000002.SZ,20110907,8.04,8.17,8.0,8.12,8.0,0.12,1.5,395553.88,320160.1829
000002.SZ,20110908,8.11,8.15,8.05,8.1,8.12,-0.02,-0.25,179321.67,145404.7582
000002.SZ,20110909,8.13,8.2,8.07,8.08,8.1,-0.02,-0.25,364042.6,296092.7084
000002.SZ,20110913,8.01,8.11,7.97,8.07,8.08,-0.01,-0.12,259308.73,208035.2782
000002.SZ,20110914,8.05,8.1,8.0,8.08,8.07,0.01,0.12,224980.37,181054.9609
000002.SZ,20110915,8.08,8.15,8.05,8.09,8.08,0.01,0.12,245485.31,199270.4146
000002.SZ,20110916,8.12,8.17,8.0,8.06,8.09,-0.03,-0.37,364527.51,293467.7899
000002.SZ,20110919,8.0,8.02,7.7,7.78,8.06,-0.28,-3.47,607367.91,475828.5941
000002.SZ,20110920,7.78,7.8,7.65,7.72,7.78,-0.06,-0.77,290652.41,224291.7105
000002.SZ,20110921,7.72,7.93,7.67,7.87,7.72,0.15,1.94,411282.92,321356.6553
000002.SZ,20110922,7.8,7.84,7.44,7.46,7.87,-0.41,-5.21,1048418.29,795528.0184
