ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000001.SH,20160401,3009.53,2997.088,3009.673,2956.247,3003.915,5.615,0.1869,206545866.0,217520534.02
000001.SH,20160405,3053.065,3000.938,3057.33,2993.148,3009.53,43.535,1.4466,256730344.0,276654687.085
000001.SH,20160406,3050.592,3039.745,3059.794,3029.005,3053.065,-2.473,-0.081,232262051.0,254914554.28
000001.SH,20160407,3008.42,3058.339,3062.358,3007.06,3050.592,-42.172,-1.3824,220919506.0,243961813.691
000001.SH,20160408,2984.958,2988.2,2996.171,2960.46,3008.42,-23.462,-0.7799,187904633.0,207337095.111
000001.SH,20160411,3033.957,3006.909,3048.977,3006.909,2984.958,48.999,1.6415,220018324.0,252328393.482
000001.SH,20160412,3023.646,3031.301,3036.825,3001.315,3033.957,-10.311,-0.3399,182718668.0,207079807.862
000001.SH,20160413,3066.638,3041.358,3097.165,3041.358,3023.646,42.992,1.4219,310003246.0,331420683.224
000001.SH,20160414,3082.362,3080.09,3086.698,3056.989,3066.638,15.724,0.5127,208237830.0,235056056.274
000001.SH,20160415,3078.117,3085.026,3089.951,3066.872,3082.362,-4.245,-0.1377,189613051.0,224141313.373
000001.SH,20160418,3033.66,3058.463,3058.463,3022.97,3078.117,-44.457,-1.4443,183304512.0,208613086.291
000001.SH,20160419,3042.823,3047.133,3054.503,3024.895,3033.66,9.163,0.302,156533200.0,180948014.276
000001.SH,20160420,2972.584,3050.381,3055.689,2905.049,3042.823,-70.239,-2.3083,283144219.0,311154870.354
000001.SH,20160421,2952.891,2954.37,2990.673,2943.464,2972.584,-19.693,-0.6625,189406849.0,206477126.88
000001.SH,20160422,2959.24,2933.035,2960.209,2926.776,2952.891,6.349,0.215,137211668.0,148800430.845
000001.SH,20160425,2946.67,2949.973,2954.092,2917.02,2959.24,-12.57,-0.4248,125856243.0,140638756.29
000001.SH,20160426,2964.7,2944.716,2965.429,2933.971,2946.67,18.03,0.6119,117711604.0,134292458.713
000001.SH,20160427,2953.671,2967.19,2976.022,2949.432,2964.7,-11.029,-0.372,130867640.0,150286301.521
000001.SH,20160428,2945.589,2955.742,2959.512,2916.374,2953.671,-8.082,-0.2736,138663274.0,154614698.978
000001.SH,20160429,2938.324,2935.376,2950.576,2930.357,2945.589,-7.265,-0.2466,109310628.0,128502732.169
000001.SH,20160503,2992.643,2940.392,2993.535,2929.815,2938.324,54.319,1.8486,168703643.0,195816604.813
000001.SH,20160504,2991.272,2983.027,3004.418,2978.33,2992.643,-1.371,-0.0458,165407106.0,189046374.911
000001.SH,20160505,2997.842,2987.022,2999.118,2977.2,2991.272,6.57,0.2196,144831383.0,163113776.353
000001.SH,20160506,2913.248,2998.402,3003.59,2913.036,2997.842,-84.594,-2.8218,206796498.0,234077433.966
000001.SH,20160509,2832.113,2896.162,2896.162,2821.826,2913.248,-81.135,-2.785,180378330.0,188705685.662
000001.SH,20160510,2832.591,2822.327,2845.238,2820.164,2832.113,0.478,0.0169,120829310.0,128535266.1
000001.SH,20160511,2837.037,2843.545,2857.254,2818.699,2832.591,4.446,0.157,135795466.0,146022521.906
000001.SH,20160512,2835.862,2812.108,2839.276,2781.236,2837.037,-1.175,-0.0414,136337655.0,140838630.936
000001.SH,20160513,2827.109,2828.462,2850.093,2814.115,2835.862,-8.753,-0.3087,114319710.0,123692646.942
000001.SH,20160516,2850.862,2816.775,2851.229,2804.991,2827.109,23.753,0.8402,114653592.0,126844299.054
000001.SH,20160517,2843.684,2850.926,2860.321,2832.459,2850.862,-7.178,-0.2518,123369064.0,140000997.865
000001.SH,20160518,2807.514,2828.178,2828.255,2781.417,2843.684,-36.17,-1.2719,140487826.0,149396820.878
000001.SH,20160519,2806.906,2802.315,2829.402,2801.548,2807.514,-0.608,-0.0217,111595071.0,124151052.18
000001.SH,20160520,2825.483,2792.888,2825.952,2785.08,2806.906,18.577,0.6618,108700899.0,123794592.281
000001.SH,20160523,2843.645,2826.312,2848.071,2826.256,2825.483,18.162,0.6428,120470455.0,139950365.055
000001.SH,20160524,2821.666,2839.682,2839.695,2807.188,2843.645,-21.979,-0.7729,111452445.0,121096058.813
000001.SH,20160525,2815.0863,2835.0293,2843.165,2807.7488,2821.666,-6.5797,-0.2332,103527265.0,117767628.7
000001.SH,20160526,2822.443,2813.543,2827.092,2780.763,2815.086,7.357,0.2613,114766797.0,127105183.33
000001.SH,20160527,2821.046,2817.968,2832.799,2809.799,2822.443,-1.397,-0.0495,109845823.0,123858864.609
000001.SH,20160530,2822.451,2814.651,2830.97,2794.661,2821.046,1.405,0.0498,106319589.0,115587479.346
000001.SH,20160531,2916.616,2822.593,2917.135,2822.593,2822.451,94.165,3.3363,215260341.0,236528504.779
000001.SH,20160601,2913.508,2917.154,2929.076,2909.512,2916.616,-3.108,-0.1066,188386421.0,219868045.396
000001.SH,20160602,2925.229,2911.219,2925.67,2906.524,2913.508,11.721,0.4023,159716916.0,185084899.734
000001.SH,20160603,2938.682,2929.788,2945.519,2915.185,2925.229,13.453,0.4599,172021023.0,211302476.506
000001.SH,20160606,2934.098,2940.994,2945.942,2922.283,2938.682,-4.584,-0.156,141993742.0,172426791.396
000001.SH,20160607,2936.045,2936.282,2938.444,2923.502,2934.098,1.947,0.0664,132987867.0,163605603.318
000001.SH,20160608,2927.159,2932.376,2937.986,2908.367,2936.045,-8.886,-0.3027,143046071.0,177377309.482
000001.SH,20160613,2833.071,2897.273,2911.158,2832.507,2927.159,-94.088,-3.2143,169255434.0,198547765.495
000001.SH,20160614,2842.189,2824.229,2843.456,2822.061,2833.071,9.118,0.3218,119755274.0,138531751.701
000001.SH,20160615,2887.21,2814.693,2894.264,2811.781,2842.189,45.021,1.584,166671069.0,197199330.848
000001.SH,20160616,2872.817,2878.402,2887.743,2865.388,2887.21,-14.393,-0.4985,173882767.0,201957154.966
000001.SH,20160617,2885.105,2873.009,2900.299,2872.185,2872.817,12.288,0.4277,171472517.0,195432492.227
000001.SH,20160620,2888.809,2887.636,2891.658,2864.02,2885.105,3.704,0.1284,136571051.0,163734439.57
000001.SH,20160621,2878.558,2898.384,2919.302,2869.176,2888.809,-10.251,-0.3549,164359089.0,198201921.486
000001.SH,20160622,2905.55,2872.734,2905.978,2869.513,2878.558,26.992,0.9377,130590424.0,156339384.142
000001.SH,20160623,2891.96,2902.398,2904.112,2878.661,2905.55,-13.59,-0.4677,136137375.0,163680266.691
000001.SH,20160624,2854.286,2883.759,2899.569,2807.598,2891.96,-37.674,-1.3027,190842609.0,214913449.682
000001.SH,20160627,2895.703,2840.559,2895.731,2840.277,2854.286,41.417,1.451,156697472.0,189854731.207
000001.SH,20160628,2912.557,2885.011,2913.582,2878.824,2895.703,16.854,0.582,173871047.0,211079306.343
000001.SH,20160629,2931.592,2918.534,2933.997,2915.062,2912.557,19.035,0.6535,193215586.0,223406351.275
000001.SH,20160630,2929.606,2931.481,2938.137,2922.312,2931.592,-1.986,-0.0677,154464930.0,187459798.1
000001.SH,20160701,2932.476,2931.802,2944.989,2925.81,2929.606,2.87,0.098,141246227.0,173006184.794
